nom_parque,longitud,latitud
Tlalnepantla (FEMSA),-99.2134819,19.5438494
Zona Industrial Naulcalpan San Andres Atoto,-99.2287969,19.4693723
"Cuatitlan, Edo Mex",-99.1645196,19.6506187
Parque Industrial Finsa Iztapalapa,-99.0890196,19.3667719
Zona Industrial Vallejo Azcapotzalco,-99.1570146,19.4902951
Complejo Industrial Tecnologico Tlalpan,-99.0619623,19.3692367
Ecatepec Industrial Zalostoc,-99.0892962,19.5159529
Parque Toluca 2000,-99.5684209,19.372676
